Year,Leading Cause,Sex,Race Ethnicity,Fatality
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,50
2013,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,249
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,206
2013,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,109
2009,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1735
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7
2011,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,167
2011,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,5
2013,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,10
2010,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,614
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,147
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,277
2012,All Other Causes,M,Other Race/ Ethnicity,24
2007,All Other Causes,M,Not Stated/Unknown,43
2007,Diabetes Mellitus (E10-E14),F,Hispanic,205
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,137
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10
2008,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,47
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,158
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,286
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,7
2010,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,707
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4719
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,104
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,164
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,46
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,137
2014,Alzheimer's Disease (G30),F,Black Non-Hispanic,123
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53
2011,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,451
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,189
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,175
2010,All Other Causes,M,Black Non-Hispanic,1230
2014,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,9
2011,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,8
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,184
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2725
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,259
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,152
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,266
2009,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3346
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2365
2013,All Other Causes,M,Asian and Pacific Islander,395
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,.
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,46
2014,All Other Causes,M,Asian and Pacific Islander,424
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,5
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,32
2012,Alzheimer's Disease (G30),F,White Non-Hispanic,222
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,11
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,68
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.
2009,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,55
2009,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1180
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,.
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Hispanic,114
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,73
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Black Non-Hispanic,87
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,188
2012,All Other Causes,M,Not Stated/Unknown,78
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,195
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,72
2007,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,659
2011,All Other Causes,F,Other Race/ Ethnicity,38
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,201
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,177
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,28
2013,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,410
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,131
2014,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,399
2009,All Other Causes,M,Hispanic,1067
2012,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,540
2010,Alzheimer's Disease (G30),F,Hispanic,71
2013,Alzheimer's Disease (G30),F,Black Non-Hispanic,106
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,60
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,.
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,165
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,207
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,56
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,56
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1327
2009,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,11
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,154
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,242
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,.
2008,All Other Causes,M,Hispanic,1069
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,64
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,5
2009,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,35
2011,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,8
2014,Diabetes Mellitus (E10-E14),M,Hispanic,186
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,.
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,13
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,14
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,8
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,10
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,286
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,142
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,8
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,196
2008,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,621
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2015
2007,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,237
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,56
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,199
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402
2010,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1045
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204
2011,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,510
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,89
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,186
2014,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1146
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,193
2010,All Other Causes,M,Not Stated/Unknown,32
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,191
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,39
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126
2011,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,253
2009,Diabetes Mellitus (E10-E14),F,Hispanic,215
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,12
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,35
2013,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Other Race/ Ethnicity,.
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,40
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,41
2012,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,409
2013,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,437
2013,All Other Causes,M,Not Stated/Unknown,139
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,123
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,153
2014,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,657
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,154
2011,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1918
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,13
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,178
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1382
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.
2011,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,14
2013,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1149
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,233
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,8
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,34
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,145
2012,All Other Causes,M,Asian and Pacific Islander,333
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,7050
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,73
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,98
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,208
2014,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,398
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,8
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1840
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.
2008,All Other Causes,F,Other Race/ Ethnicity,19
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,.
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,.
2010,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,501
2010,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,51
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,452
2012,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1912
2008,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,344
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,42
2011,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1085
2013,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,93
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,25
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,78
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,.
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,30
2012,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,240
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,218
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,5
2012,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,34
2008,All Other Causes,F,Hispanic,885
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,21
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Other Race/ Ethnicity,.
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,31
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,151
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,242
2007,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1013
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,.
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,90
2009,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,12
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,12
2010,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1768
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,169
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,20
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,297
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1348
2011,"Assault (Homicide: Y87.1, X85-Y09)",F,Not Stated/Unknown,.
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,87
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,314
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,9
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,83
2007,All Other Causes,M,Black Non-Hispanic,1163
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Other Race/ Ethnicity,12
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,221
2011,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,94
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1307
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,200
2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.
2007,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,267
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,80
2014,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,50
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,6
2007,Septicemia (A40-A41),F,Black Non-Hispanic,89
2011,All Other Causes,M,Other Race/ Ethnicity,27
2007,All Other Causes,M,Other Race/ Ethnicity,24
2007,All Other Causes,M,Asian and Pacific Islander,221
2009,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,285
2008,All Other Causes,M,Not Stated/Unknown,67
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,10
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,152
2014,All Other Causes,M,Hispanic,1195
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,.
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7
2014,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,292
2011,Alzheimer's Disease (G30),F,White Non-Hispanic,231
2009,All Other Causes,F,Asian and Pacific Islander,220
2011,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,307
2014,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,10
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,.
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,13
2013,Diabetes Mellitus (E10-E14),M,Hispanic,192
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,267
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,271
2012,All Other Causes,F,Asian and Pacific Islander,327
2012,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,76
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,32
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,.
2012,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1126
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,531
2009,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,458
2007,All Other Causes,F,Asian and Pacific Islander,182
2010,All Other Causes,F,Asian and Pacific Islander,238
2009,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,390
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,70
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,14
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,63
2010,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1261
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,58
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2194
2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245
2009,Alzheimer's Disease (G30),F,Asian and Pacific Islander,14
2008,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,6
2012,Diabetes Mellitus (E10-E14),M,Hispanic,194
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,132
2008,Diabetes Mellitus (E10-E14),M,Hispanic,191
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,.
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,56
2010,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,279
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,546
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1958
2007,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3356
2009,Septicemia (A40-A41),F,Not Stated/Unknown,.
2014,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,11
2008,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,33
2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1230
2011,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,7
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,143
2007,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,.
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,134
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,6
2011,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,444
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,74
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,.
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.
2014,All Other Causes,M,Not Stated/Unknown,96
2013,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,9
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,6
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,180
2014,All Other Causes,F,White Non-Hispanic,2578
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,62
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,227
2011,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,60
2014,Septicemia (A40-A41),F,White Non-Hispanic,118
2014,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,228
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,58
2011,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,.
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,176
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,148
2014,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,318
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10
2013,All Other Causes,F,White Non-Hispanic,2595
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,132
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,207
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,68
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Not Stated/Unknown,.
2013,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,618
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1445
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,196
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,11
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,218
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,274
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,18
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,92
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,.
2011,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,646
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,.
2008,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1046
2012,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1563
2011,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,6
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,10
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,33
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,57
2008,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3361
